transaction_hash,transaction_time,from_address,to_address,amount
0x288eee3fd0208568e9dc937dbe612d1acd498caf6d8c754ca9a7a500a686888e,2024-06-28 15:03:26.000 UTC,0x6bd780e7fdf01d77e4d475c821f1e7ae05409072,0x7da2323ed062b7f0ed7bd387d11ab8adeaa0ca30,208.4590539
0x3783b371fee05e45bad245a1be5f766800ff63eff00ba1d02414ad803aaf38bd,2024-06-28 16:55:12.000 UTC,0x6bd780e7fdf01d77e4d475c821f1e7ae05409072,0x67eebb70b6b91b66fd6a5d81d2b1fb9206e01a2b,155.7948428
0x858f3fc9620046ab4f15f5e4c287e18a801017416727f9cf4f732688f78e079a,2024-06-30 16:59:14.000 UTC,0x6bd780e7fdf01d77e4d475c821f1e7ae05409072,0x7693517008eee395e93dfc8e784d48e667222fa6,300.0000118
0xd8669b315b9dd6b2a12ccfe877bf5969ae152541cb4a50339bd39c78d4aa39d4,2024-06-30 17:01:39.000 UTC,0x6bd780e7fdf01d77e4d475c821f1e7ae05409072,0x7693517008eee395e93dfc8e784d48e667222fa6,300.0000064
0x008f50a888f592ff3d8fb4dda569a0f7ba4a2bc9e2f767fd9131b0b106aaded6,2024-06-30 17:04:38.000 UTC,0x6bd780e7fdf01d77e4d475c821f1e7ae05409072,0x7693517008eee395e93dfc8e784d48e667222fa6,400.0000139
0x03de351c81223777476128dd466d55214b5c9550378ec86089cb3a08f409c4e9,2024-06-30 17:05:23.000 UTC,0x6bd780e7fdf01d77e4d475c821f1e7ae05409072,0xd991d9e0a22a51391c25b258eef8c1c4a392383a,1402.31305
0xfa24473891c9657d240856999e5d0c681424894ade4638e6488b68a121b90127,2024-06-30 17:11:42.000 UTC,0x6bd780e7fdf01d77e4d475c821f1e7ae05409072,0x7693517008eee395e93dfc8e784d48e667222fa6,300.0000129
0x7c9e1a1c1ba100055acf1d5a5af42f74ddee91abf53ace0362c1b118dd738a7a,2024-06-30 17:12:58.000 UTC,0x6bd780e7fdf01d77e4d475c821f1e7ae05409072,0x8549d43ac2741219a7d26754fbe1801b82184a3b,7.601150194
0xdfcaae6a5b693b20c17f1ddc7786718840fcd948e7133e768b076db173910b5a,2024-06-30 17:32:02.000 UTC,0x6bd780e7fdf01d77e4d475c821f1e7ae05409072,0xce29ecb0d2d8c8f0126ed923c50a35cfb0b613a8,12
0x3fd7055dca0cf1523871221bb84948bbd278cd25f4ce5e5085494a8b9adb7540,2024-06-30 17:35:46.000 UTC,0x6bd780e7fdf01d77e4d475c821f1e7ae05409072,0xce29ecb0d2d8c8f0126ed923c50a35cfb0b613a8,300
