transaction_hash,transaction_time,from_address,to_address,amount
0x6feb9321d2ae1f66721133cbda66930c105d170aca49895836c801cf4806420e,2024-07-09 10:07:08.000 UTC,0xaf11495f021c5c2c5f5230f40d5d57ebe4059700,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,4
0xc7f4f9b625ccdb202887f91bc9f80424c51bd49ec2169575520e65beffe45d73,2024-07-02 21:01:35.000 UTC,0xe4b7538c2e2bc683a3e84ea67aded2dff6c8cef5,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,16.25938852
0xdfcbbcd17d3b53e6f6c798613e98fe8056bdb8851cce1dda51d38c3b8d5f2ca6,2024-07-02 23:51:37.000 UTC,0x9455eeec4cc81357260eba061cd16fef8c7d321a,0xe37e799d5077682fa0a244d46e5649f71457bd09,2.94916596
0x01cd65f363ca416ac674aeb9ad62c54d4b3c29fa3afa0cf7ce7d7efc20366c80,2024-07-01 17:58:32.000 UTC,0x6595a41a2ebe230522076c544fb2de11a6666226,0x31ef83a530fde1b38ee9a18093a333d8bbbc40d5,5
0x0da38a0ffb4eef2a84bdf6cb48233b3c510aaa1a71a9d6363aa1635ea230b31a,2024-07-17 21:58:50.000 UTC,0x594c9ad8d38fd59daeae8520ab1e31b2a866c4f2,0x7f3f2a499c00c2d7018300f99a232896fd295bb1,0.1
0xa935d01dfb9599489107310d9f52761a724551628da07952879ce31242987e4b,2024-07-17 22:13:17.000 UTC,0x594c9ad8d38fd59daeae8520ab1e31b2a866c4f2,0x3a23f943181408eac424116af7b7790c94cb97a5,9.93
0xa935d01dfb9599489107310d9f52761a724551628da07952879ce31242987e4b,2024-07-17 22:13:17.000 UTC,0x594c9ad8d38fd59daeae8520ab1e31b2a866c4f2,0x399cf1ca9b8dcc369ee3bb2a6516144de43e506d,0.07
0x9d13e7922a5eaef3366453301dd088f11c761bf7117230d88583bc0d911bda26,2024-07-17 22:23:46.000 UTC,0x594c9ad8d38fd59daeae8520ab1e31b2a866c4f2,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,5
0xa232ec522a7df13c49ee32994e5a6acc687247369d8ece351c0824fc068348ca,2024-07-17 22:29:26.000 UTC,0x594c9ad8d38fd59daeae8520ab1e31b2a866c4f2,0x3a23f943181408eac424116af7b7790c94cb97a5,3.972
0xa232ec522a7df13c49ee32994e5a6acc687247369d8ece351c0824fc068348ca,2024-07-17 22:29:26.000 UTC,0x594c9ad8d38fd59daeae8520ab1e31b2a866c4f2,0x399cf1ca9b8dcc369ee3bb2a6516144de43e506d,0.028
