transaction_hash,transaction_time,from_address,to_address,amount
0x63c48300799d54647b196035575683eb02f889122553bc8eecff6e65cf16f305,2024-07-10 05:49:31.000 UTC,0xa55b524dbdd2d7080faadae7807cba904ef8a827,0x9b99e9c620b2e2f09e0b9fced8f679eecf2653fe,44.33963361
0x32760d809ddd48afba10fccdea5662cfc7aef70e32f5592160ebdfc26c392bcb,2024-07-10 10:02:46.000 UTC,0xab53ef835a02fd7e51a7abe0ed47e866cdbb5b13,0xe37e799d5077682fa0a244d46e5649f71457bd09,13.74938017
0xe030a53ec173941fe8b3ac14184ab0fd559799196d9ed908825910c6812bce49,2024-07-21 02:44:41.000 UTC,0x0b70c66394bcf5679f67fd741d28b2e719554451,0xe37e799d5077682fa0a244d46e5649f71457bd09,78.2
0x152521cb91d010273e40f80e70c753c4093dec1bec644033fabbef4f606fda8d,2024-07-21 03:05:02.000 UTC,0x4a4037e53306f284cf214b733e9a54d6a5939818,0x6dc87c069b62eecc5ee5d986de05b543b9cd21a9,23.00000074
0x1a9d9295b2916c4667183e1820ec2676b2a559b788d1e6dce0f2f449c9fe6357,2024-07-21 07:30:50.000 UTC,0xadce21bdc15c6f39888c9b0a3ec41c9637932495,0x18a192dfe0be1e5e9aa424738fdad800646283b2,0.1
0x1bb46d9ab4a0501a4085c4c598c4e82755f3025bc9ee61a9c975c5b4352dfefa,2024-07-21 09:33:30.000 UTC,0xadce21bdc15c6f39888c9b0a3ec41c9637932495,0x11ddd59c33c73c44733b4123a86ea5ce57f6e854,14.85883737
0x45b2eac1b47f1d9ba5eb66716a377ed5c8a3a3dd001cc0c8ace6e3f6db692895,2024-07-02 14:03:54.000 UTC,0x24f5fed80e616b9b672e14ab9dc6e1fa1ee70e6a,0xf49f7bb6f4f50d272a0914a671895c4384696e5a,962.8720139
0xc2159b537b62529f6eb86f5e75ea4f954d7b33a038a2247ce7f79b5b99de9337,2024-07-31 00:48:05.000 UTC,0xc2fe50e4e2a72346108527a815627dda4bbd165c,0x175995159ca4f833794c88f7873b3e7fb12bb1b6,548.42
0xdc021c4eab0ccdd5609422bbd35f7b15bce06f4d520fe58dfe1712ce9e066a97,2024-07-31 04:38:53.000 UTC,0xadce21bdc15c6f39888c9b0a3ec41c9637932495,0x9b99e9c620b2e2f09e0b9fced8f679eecf2653fe,8.437838926
0x38662d619a72c7d526014f22d06eb1bdabe160edfd7f78efac6e94b17e27bac7,2024-06-30 06:13:46.000 UTC,0xc2fe50e4e2a72346108527a815627dda4bbd165c,0x769728b5298445ba2828c0f3f5384227fbf590c5,5121.326965
0x19afbccc9a011281444d87213d306f1d22bbb32d95115becf8a1ff6efce00611,2024-07-23 00:43:02.000 UTC,0xbe905f486a5afc311eef5cca184fab073c3978fc,0xc6f780497a95e246eb9449f5e4770916dcd6396a,55.43773068
0xfabf00fde719dbcb2c76ed2d089e67dd04f166902609f57e7a93887fc031160b,2024-07-15 03:00:38.000 UTC,0xbe905f486a5afc311eef5cca184fab073c3978fc,0xf92768916015b5ebd9fa54d6ba10da5864e24914,3.261561001
0xfabf00fde719dbcb2c76ed2d089e67dd04f166902609f57e7a93887fc031160b,2024-07-15 03:00:38.000 UTC,0xbe905f486a5afc311eef5cca184fab073c3978fc,0x93cce474015007b38da0ecea96671ee4dc3d40ad,7.610309001
0xc59738ba81fd099135343b6f6bb4136919899984a9594938ce6008c4d187cb8e,2024-07-10 01:31:09.000 UTC,0xbe905f486a5afc311eef5cca184fab073c3978fc,0xb791ad21ba45c76629003b4a2f04c0d544406e37,12.23031645
