transaction_hash,transaction_time,from_address,to_address,amount
0x9d03fce3c1ed0afdf2213918a9054a0b95fec8543d93deb4c8308dfb6d7cad0b,2024-07-29 13:11:11.000 UTC,0xfc68fecef17f69be910d393f0474c88a4402c10e,0xc6f780497a95e246eb9449f5e4770916dcd6396a,6.869140121
0xef70de6967315ebdd96a379c463c873a8f6487c2e0c9293987f85e73178ec53c,2024-07-29 14:56:24.000 UTC,0xa7bf40df877ee52ce5df80d33935d98a711ad455,0x11ddd59c33c73c44733b4123a86ea5ce57f6e854,334.510511
0x1ae3925b47d141976687ac9d2dcdd533b2bbabc3f93f087b16470d10358dbca1,2024-07-29 16:01:02.000 UTC,0x84600f8ee9aadceebafa445472cdb10b0107257d,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,12.33488112
0x3c948b5a2cc8591451eeff881d7d192ed4563e898d9f3a06dfd3b30c03f25084,2024-07-31 19:04:05.000 UTC,0x62654d4ca1b776471f0e61a15363634c07b2e4df,0xe37e799d5077682fa0a244d46e5649f71457bd09,6.215663043
0x9ac24874568c6eaed7508f07556a5cba6da63912d9ed683855e8c38e00aa0bc4,2024-07-31 19:45:09.000 UTC,0x6ba2a2955f10a292b807e68136b975e350b8806f,0x3a23f943181408eac424116af7b7790c94cb97a5,7.261332197
0x144decc1688fbb5dad80c92ac127f2cb3750bbcc99bd4442c57d6a8377e3214f,2024-07-29 04:40:29.000 UTC,0x62654d4ca1b776471f0e61a15363634c07b2e4df,0xe37e799d5077682fa0a244d46e5649f71457bd09,2.9
0xba27fcbea20ce165e5782e2d515eb8ccb6d6442e35f2745fdc51b187157b3ad0,2024-07-29 04:41:04.000 UTC,0x62654d4ca1b776471f0e61a15363634c07b2e4df,0xe37e799d5077682fa0a244d46e5649f71457bd09,2.905445229
0xdc24648c13450e8c835db2a10ad81e57276b620dee7e827436a5a8f7f2127423,2024-07-29 08:06:00.000 UTC,0xea99d544a53abf60f58fe858ae6b2ee8a9e5a624,0x9b99e9c620b2e2f09e0b9fced8f679eecf2653fe,55
0xeff7578eb75e0b1d9bc3269378326c3f329fb0e5dcacaba504edca7153c45784,2024-07-30 10:20:34.000 UTC,0x21251bef162438521aab4a96677d2d3c545d328d,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.709961365
0x48a8223fdc01f00547f3ffcac2e680439f1f64277279d3e833b81b91bc1cfd8c,2024-07-31 01:06:41.000 UTC,0xd692e8e0dbd3b4b9dfefe0500f097c17abea4583,0x11ddd59c33c73c44733b4123a86ea5ce57f6e854,6272.180967
