transaction_hash,transaction_time,from_address,to_address,amount
0xfd6afd55f4c22879cdfa1504251c520a063af14dbd66a492f6e878c8007037d7,2024-06-25 00:46:18.000 UTC,0x1c59f7a0aa3f01ddacd17c0ef7bc00c3d18fed0a,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,32.95994753
0xcd98120c5b02ed391246a041e3fd68d94b2f2cc5fcbf8767583403dcfd4316ff,2024-07-24 15:23:38.000 UTC,0x674a9e9a0fef56b1c14b3fdafcd2a2582c4af0cb,0x175995159ca4f833794c88f7873b3e7fb12bb1b6,14.7525472
0x764ed7b069efe8cd7cd06d33d2b4ceeacfca44d566f8123dbf22a26b9a7d05e2,2024-07-23 02:08:18.000 UTC,0x0604e652a188931e245717d45feb26f583b92908,0xb0f6ca40411360c03d41c5ffc5f179b8403cdcf8,11.87155864
0xc87930bc03d397c503f91b707e455ee7c35da361811e92cc18e190dc5ce26030,2024-07-28 19:54:59.000 UTC,0x0604e652a188931e245717d45feb26f583b92908,0x6533afac2e7bccb20dca161449a13a32d391fb00,4678.875024
0xf30995575c9cf36ae715bc5372d188fac8e5d016ca584489ec87c2d5256a8cdc,2024-07-09 19:16:11.000 UTC,0x0085a99c3ae9512cd40ee3310be7cb3574cd511f,0x11ddd59c33c73c44733b4123a86ea5ce57f6e854,4.339106956
0x1c76e2cf2c1e9c23bba5e1186dc93b1ec66c00be411ece6ed2710696641679e5,2024-06-24 10:14:53.000 UTC,0x975d7b9752f47f8a592fb9e540038d7653cbba5f,0x83563b18637b1f74060716986d402a3251be0dc9,15
0x83360ab1d85bb551afab195c437596e4345ccbd29c965de615a9d76ddd86c2b9,2024-06-24 10:15:52.000 UTC,0x975d7b9752f47f8a592fb9e540038d7653cbba5f,0xb3bbe09e73d58dc9a2426ccf9fc9670b3632aebc,23.21608543
0xddb53106714c91713e8c8baedc45642b1f237c7615502777e41059afec6ec24d,2024-07-27 06:48:35.000 UTC,0xe08304f3a5889b02b6cc1f666160223f83979d88,0x9b99e9c620b2e2f09e0b9fced8f679eecf2653fe,1
0x250bd917b139a3c6e262677d2e367eccaebacfa212227fc0aae3d6068f4ba805,2024-07-04 03:47:57.000 UTC,0xcc2cc53baa6bffbfea9012855a50b39640fac575,0x6533afac2e7bccb20dca161449a13a32d391fb00,673.0286218
0x518a6f7a3d13c3f30a6a2dabc2ea2b07b09d861b95dc272941f4faa1793d0467,2024-07-05 06:15:55.000 UTC,0xcc2cc53baa6bffbfea9012855a50b39640fac575,0x6533afac2e7bccb20dca161449a13a32d391fb00,58.47471067
